w_signal	w_4b_cut	seed	signal_ratio	noise_scale
0.20898254	0.2	4	0.03	0.15
0.27544966	0.25	4	0.03	0.15
0.33802485	0.3	4	0.03	0.15
0.4031829	0.35000000000000003	4	0.03	0.15
0.47089216	0.4	4	0.03	0.15
0.5353358	0.45	4	0.03	0.15
0.6139935	0.5	4	0.03	0.15
0.6850938	0.55	4	0.03	0.15
0.7493273	0.6000000000000001	4	0.03	0.15
0.81994075	0.6500000000000001	4	0.03	0.15
0.88372076	0.7000000000000001	4	0.03	0.15
0.9186538	0.7500000000000001	4	0.03	0.15
0.9512054	0.8	4	0.03	0.15
0.97789687	0.8500000000000001	4	0.03	0.15
0.99427736	0.9000000000000001	4	0.03	0.15
1.0000001	0.9500000000000001	4	0.03	0.15
0.053961214	0.05	4	0.03	0.2
0.0965575	0.1	4	0.03	0.2
0.15216745	0.15000000000000002	4	0.03	0.2
0.20469137	0.2	4	0.03	0.2
0.27383518	0.25	4	0.03	0.2
0.33636227	0.3	4	0.03	0.2
0.3986441	0.35000000000000003	4	0.03	0.2
0.47766098	0.4	4	0.03	0.2
0.5420707	0.45	4	0.03	0.2
0.6171475	0.5	4	0.03	0.2
0.68831927	0.55	4	0.03	0.2
0.7539162	0.6000000000000001	4	0.03	0.2
0.8289981	0.6500000000000001	4	0.03	0.2
0.8883053	0.7000000000000001	4	0.03	0.2
0.92148674	0.7500000000000001	4	0.03	0.2
0.954216	0.8	4	0.03	0.2
0.97944325	0.8500000000000001	4	0.03	0.2
0.99427754	0.9000000000000001	4	0.03	0.2
1.0000002	0.9500000000000001	4	0.03	0.2
0.19251847	0.05	5	0.03	0.05
0.32221138	0.1	5	0.03	0.05
0.40755865	0.15000000000000002	5	0.03	0.05
0.5013703	0.2	5	0.03	0.05
0.57646173	0.25	5	0.03	0.05
0.66269004	0.3	5	0.03	0.05
0.7045849	0.35000000000000003	5	0.03	0.05
0.7559966	0.4	5	0.03	0.05
0.7854429	0.45	5	0.03	0.05
