w_signal,w_4b_cut,seed,signal_ratio,n_3b,noise_scale
0.11882124,0.25,0,0.01,100000,3.0
0.17976259,0.30000000000000004,0,0.01,100000,3.0
0.26043975,0.35000000000000003,0,0.01,100000,3.0
0.3652365,0.4,0,0.01,100000,3.0
0.49248877,0.45,0,0.01,100000,3.0
0.5832247,0.5,0,0.01,100000,3.0
0.6875204,0.55,0,0.01,100000,3.0
0.7795792,0.6000000000000001,0,0.01,100000,3.0
0.8419719,0.65,0,0.01,100000,3.0
0.8846163,0.7000000000000001,0,0.01,100000,3.0
0.9247434,0.75,0,0.01,100000,3.0
0.95495003,0.8,0,0.01,100000,3.0
0.979893,0.8500000000000001,0,0.01,100000,3.0
0.99108064,0.9,0,0.01,100000,3.0
0.99663395,0.9500000000000001,0,0.01,100000,3.0
1.0,1.0,0,0.01,100000,3.0
0.0,0.0,1,0.01,100000,1.0
0.0017650746,0.05,1,0.01,100000,1.0
0.005154729,0.1,1,0.01,100000,1.0
0.005154729,0.15000000000000002,1,0.01,100000,1.0
0.008616039,0.2,1,0.01,100000,1.0
0.020233784,0.25,1,0.01,100000,1.0
0.053099256,0.30000000000000004,1,0.01,100000,1.0
0.10343756,0.35000000000000003,1,0.01,100000,1.0
0.17342389,0.4,1,0.01,100000,1.0
0.25429258,0.45,1,0.01,100000,1.0
0.33599937,0.5,1,0.01,100000,1.0
0.44945735,0.55,1,0.01,100000,1.0
0.52938366,0.6000000000000001,1,0.01,100000,1.0
0.63641006,0.65,1,0.01,100000,1.0
0.7121853,0.7000000000000001,1,0.01,100000,1.0
0.7906114,0.75,1,0.01,100000,1.0
0.8593927,0.8,1,0.01,100000,1.0
0.9199031,0.8500000000000001,1,0.01,100000,1.0
0.97934157,0.9,1,0.01,100000,1.0
0.9915822,0.9500000000000001,1,0.01,100000,1.0
1.0,1.0,1,0.01,100000,1.0
0.0,0.0,1,0.01,100000,2.0
0.0,0.05,1,0.01,100000,2.0
0.0033896544,0.1,1,0.01,100000,2.0
0.0033896544,0.15000000000000002,1,0.01,100000,2.0
0.007125499,0.2,1,0.01,100000,2.0
0.015166613,0.25,1,0.01,100000,2.0
0.05420558,0.30000000000000004,1,0.01,100000,2.0
0.12739418,0.35000000000000003,1,0.01,100000,2.0
0.25156948,0.4,1,0.01,100000,2.0
0.4070616,0.45,1,0.01,100000,2.0
0.5501929,0.5,1,0.01,100000,2.0
0.6637035,0.55,1,0.01,100000,2.0
0.7374778,0.6000000000000001,1,0.01,100000,2.0
0.8310632,0.65,1,0.01,100000,2.0
0.9057865,0.7000000000000001,1,0.01,100000,2.0
0.94405514,0.75,1,0.01,100000,2.0
0.9759331,0.8,1,0.01,100000,2.0
0.98284715,0.8500000000000001,1,0.01,100000,2.0
0.99492794,0.9,1,0.01,100000,2.0
0.9983758,0.9500000000000001,1,0.01,100000,2.0
1.0,1.0,1,0.01,100000,2.0
0.0,0.0,1,0.01,100000,3.0
0.0,0.05,1,0.01,100000,3.0
0.0033896544,0.1,1,0.01,100000,3.0
0.0033896544,0.15000000000000002,1,0.01,100000,3.0
0.007125499,0.2,1,0.01,100000,3.0
0.015178362,0.25,1,0.01,100000,3.0
0.0560837,0.30000000000000004,1,0.01,100000,3.0
0.12718566,0.35000000000000003,1,0.01,100000,3.0
0.25994104,0.4,1,0.01,100000,3.0
0.41654786,0.45,1,0.01,100000,3.0
0.5319213,0.5,1,0.01,100000,3.0
0.6616788,0.55,1,0.01,100000,3.0
0.74287605,0.6000000000000001,1,0.01,100000,3.0
0.83813703,0.65,1,0.01,100000,3.0
0.91239744,0.7000000000000001,1,0.01,100000,3.0
0.94752383,0.75,1,0.01,100000,3.0
0.9777067,0.8,1,0.01,100000,3.0
0.9862404,0.8500000000000001,1,0.01,100000,3.0
0.9966966,0.9,1,0.01,100000,3.0
0.99832094,0.9500000000000001,1,0.01,100000,3.0
1.0,1.0,1,0.01,100000,3.0
0.0,0.0,2,0.01,100000,1.0
0.21363437,0.05,2,0.01,100000,1.0
0.32918274,0.1,2,0.01,100000,1.0
0.42490467,0.15000000000000002,2,0.01,100000,1.0
0.492192,0.2,2,0.01,100000,1.0
0.54504925,0.25,2,0.01,100000,1.0
0.5784465,0.30000000000000004,2,0.01,100000,1.0
0.6176817,0.35000000000000003,2,0.01,100000,1.0
0.6504275,0.4,2,0.01,100000,1.0
0.676155,0.45,2,0.01,100000,1.0
